school,department,dept,Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
School of Arts and Sciences,Department of Anthropology,ANTH,0.0240879965167962,0.00487495368644813,0.0612100513470808,0.122248360734367,0.0833918713443813,0.00928312138735034,0.0931318327239525,0.0728328038203327,0.063728252770116,0.0513211370629155,0.0150576564617821,0.00473446686053015,0.0212654944595815,0.0187064345099301,0.0100877826606198,0.00319242615760075,0.0325985641527179,0.078071062174857,0.174022222504533,0.0561535086641074
School of Arts and Sciences,Department of Art,ARTH,0.638940746932346,0.00274211513413669,0.03183487643951,0.00274211513413828,0.0245753194591213,0.00402704359022698,0.0474718051984591,0.0283841061603591,0.00579049368520394,0.00759181796445149,0.00456778649927255,0.00607836964962684,0.00791382826319832,0.00413215151787041,0.00274211513413677,0.00406208805079879,0.0398519979041298,0.0638782031691648,0.0644205958510674,0.00825242426278144
School of Arts and Sciences,Department of Art,ARTS,0.243074571583366,0.0226858708494511,0.0792421232485333,0.0316341404726841,0.0380683882009624,0.215255657558031,0.0165672041717937,0.00566235222337817,0.0100483360382581,0.00803603925473809,0.0119805608403275,0.124627634751749,0.0437006385773028,0.00464781718824354,0.00464781718824463,0.0116243825915684,0.054157674956006,0.0446038335996324,0.013808225210712,0.0159267314950179
School of Arts and Sciences,Department of Art,GDES,0.0299739019958058,0.0173301117913982,0.105897269457545,0.00439739468000712,0.030015606824023,0.382098036160159,0.00871043282768873,0.00439739468000435,0.199387934617476,0.00580723876429484,0.00439739468000855,0.00439739468000808,0.0882572829377409,0.0043973946800017,0.0043973946800027,0.0113113592212569,0.0456950926308249,0.026464893515275,0.00439739468000333,0.0182690764964755
School of Arts and Sciences,Department of Biology,BIO,0.00753949305632132,0.00319699159820251,0.0826545612262626,0.122882785431,0.0470492972452417,0.0132385480027903,0.0618040957598934,0.00615336741208364,0.0747567214946329,0.0146918124029621,0.00362614997549938,0.00319699159820377,0.00390212488071962,0.0186896139768418,0.107881623613438,0.0282913034537263,0.291073745757213,0.0688398443778373,0.0269226962997263,0.0136082324374045
School of Arts and Sciences,Department of Biology,PSM,0.00793207374312152,0.150735984144778,0.283630481782476,0.166565583948139,0.155729451497121,0.0079320737431251,0.00793207374312088,0.00793207374312229,0.00793207374313274,0.025517714807472,0.00793207374312526,0.00793207374312308,0.0667523482291766,0.0330604800728717,0.00793207374312346,0.00793207374312468,0.0228230706003966,0.0079320737431509,0.00793207374312438,0.00793207374317552
School of Arts and Sciences,Department of Biology and Chemistry,BEHS,0.00270561692938009,0.0027056169293837,0.179013933687683,0.121953125354691,0.207308989565231,0.0503534008440442,0.0253580096026279,0.00270561692938054,0.00799535221938203,0.0627038579073937,0.00566937015039318,0.011683703485281,0.00270561692938093,0.0614223622703511,0.0164839200168633,0.00270561692938399,0.065466620758926,0.117553175265875,0.00644467074115308,0.0470614234831959
School of Arts and Sciences,Department of Chemistry,CHEM,0.00915244363100359,0.00395347709283278,0.106507607254125,0.00776601132917131,0.023480396038318,0.00897968875483536,0.015215202144697,0.00329436748983424,0.0182530148804463,0.0278412007485408,0.0052826799607029,0.00408252617747411,0.00313460486169127,0.00313460486168974,0.00965017652358977,0.158950112539302,0.476013799296524,0.10029051510116,0.00780136890651203,0.007216202407551
School of Arts and Sciences,Department of Computer Science,CSC,0.00382637254419799,0.0206242384925449,0.0902448461927772,0.0428479247018838,0.0454082269525168,0.0467281888685121,0.0198874094728101,0.00699554343653061,0.411320666314372,0.00653041738909574,0.0113950012134183,0.0750476240074467,0.00741072500854772,0.00441754273193618,0.0182043001721367,0.104586352027375,0.0198247365443158,0.0282351965296409,0.0304115753440389,0.00605311205590249
School of Arts and Sciences,Department of Computer Science,GAME,0.0361478486449908,0.00704870198753064,0.063705602485871,0.00307868376980642,0.055197857140136,0.0793071165016635,0.00307868376980861,0.0045194228966946,0.133952988119745,0.00307868376981087,0.00307868376980959,0.0030786837698163,0.353881935099694,0.00307868376980731,0.0121264270939,0.00307868376981623,0.0329701701082928,0.136109856389344,0.00307868376980824,0.0604026033736546
School of Arts and Sciences,"Department of Critical Race, Gender & Culture Studies",AFAM,0.152123954789236,0.00432721784870227,0.110233202588083,0.22591256395391,0.00967940791602543,0.00228051806918251,0.102551742110264,0.325164475204736,0.002280518069182,0.008628494787793,0.00228051806918305,0.00228051806918262,0.00460456227298004,0.00685021426866566,0.00552584189952191,0.00228051806918173,0.0117559673577452,0.0064246136799347,0.0119346817339698,0.00288046924252152
School of Arts and Sciences,"Department of Critical Race, Gender & Culture Studies",APDS,0.174985726061228,0.00205200448482317,0.190179811907375,0.00205200448482186,0.0414417544897815,0.00205200448482312,0.084837157070732,0.263860249567536,0.0020520044848231,0.00707845363155877,0.00995522339288598,0.00205200448482328,0.00362098252799396,0.0292552988926725,0.00205200448482234,0.00205200448482099,0.169215574197477,0.00205200448483106,0.00710172789734461,0.00205200448482604
School of Arts and Sciences,"Department of Critical Race, Gender & Culture Studies",ASIA,0.141102252238462,0.00926166008843542,0.120531371242619,0.00926166008842968,0.104768593560419,0.00926166008844115,0.0318952633499128,0.111188016410795,0.00926166008843239,0.0123267605748223,0.00926166008843332,0.00926166008843657,0.0114333427919386,0.0700454871681469,0.00926166008843265,0.00926166008843175,0.292077123676074,0.00926166008846444,0.0092616600884361,0.0120151881024378
School of Arts and Sciences,"Department of Critical Race, Gender & Culture Studies",CRGC,0.00267229040522487,0.00922431223569456,0.327049359913209,0.00267229040520862,0.0365526270577355,0.00267229040521003,0.388169103654151,0.00267229040523726,0.00267229040521212,0.0326985238650766,0.00267229040521831,0.0275719304598025,0.00267229040522024,0.00267229040521159,0.00267229040521065,0.00267229040520942,0.00267229040521038,0.136434224325723,0.00267229040522153,0.0102324336260126
School of Arts and Sciences,"Department of Critical Race, Gender & Culture Studies",LTST,0.0352513421827442,0.0035302792415098,0.158074119886056,0.265595935401657,0.192104232696939,0.00907010616508075,0.195313759409667,0.0641432125870012,0.00462178687473196,0.0169988568510235,0.00638997141602271,0.00353027924150865,0.00663909221552817,0.00353027924151291,0.00353027924150759,0.00353027924150707,0.00353027924150641,0.012257337079388,0.00600890067170015,0.00634967111340789
School of Arts and Sciences,Department of Economics,ECON,0.00586161616692092,0.0184296976490047,0.0594093607121502,0.03758789600011,0.064446737494122,0.0585951585614619,0.068053915597431,0.0295024022249823,0.00694465820506258,0.141716681584186,0.00325331605749738,0.00910671437996152,0.0118545164197297,0.122032030981381,0.0954836505375977,0.153814413859175,0.0262619164670529,0.0490388203943471,0.0269841789217309,0.0116223177860953
