school,department,dept,year (fall),Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
Kogod School of Business,Department of Finance and Real Estate,FIN,2024,0.00176686576967397,0.0434235693634941,0.0599938973393468,0.0338140023108949,0.0219874905674729,0.401310565398946,0.00176686576967888,0.00297222649958866,0.00866326388012346,0.0317549920838315,0.00322560364236548,0.123809998988948,0.00176686576967209,0.00694103461540831,0.0131920279762893,0.16315375014357,0.0491815870120895,0.014058787403894,0.00893997254586194,0.00827663291885035
Kogod School of Business,Department of Finance and Real Estate,REAL,2014,0.00580796231848763,0.00580796231849243,0.162224842480364,0.00580796231851486,0.0623292620765472,0.154000789199143,0.00580796231848916,0.00580796231849372,0.00580796231848823,0.05469509436546,0.00580796231849076,0.416598717376117,0.0120351441271256,0.00580796231848988,0.00580796231849151,0.0119981352919792,0.00580796231849389,0.0126701579378174,0.00580796231849228,0.0495602716420227
Kogod School of Business,Department of Finance and Real Estate,REAL,2015,0.00543421417939293,0.00543421417939787,0.150678460043993,0.00543421417941816,0.0579182782404486,0.148061722304322,0.00543421417939429,0.00543421417939852,0.00543421417939378,0.0508294082230103,0.00543421417939622,0.435114244204201,0.011216597287414,0.00543421417939508,0.00543421417939666,0.0285373222032144,0.00543421417939878,0.011806252968771,0.0054342141793975,0.046061358551247
Kogod School of Business,Department of Finance and Real Estate,REAL,2016,0.00543421417939293,0.00543421417939787,0.150678460043993,0.00543421417941816,0.0579182782404486,0.148061722304322,0.00543421417939429,0.00543421417939852,0.00543421417939378,0.0508294082230103,0.00543421417939622,0.435114244204201,0.011216597287414,0.00543421417939508,0.00543421417939666,0.0285373222032144,0.00543421417939878,0.011806252968771,0.0054342141793975,0.046061358551247
Kogod School of Business,Department of Finance and Real Estate,REAL,2017,0.00651519523253045,0.00651519523253538,0.142076491372825,0.00651519523255489,0.0555003216895173,0.139362612576966,0.00651519523253258,0.00651519523253846,0.00651519523253178,0.0441762974205758,0.00651519523253419,0.410341344717455,0.0119120861333512,0.00651519523253305,0.00651519523253621,0.029350811953626,0.045231787061441,0.0124624314359509,0.00651519523253588,0.044433863312929
Kogod School of Business,Department of Finance and Real Estate,REAL,2018,0.00488431874207371,0.0193081132758971,0.1319730338736,0.00488431874209885,0.0508078747954984,0.129677721455673,0.00488431874207551,0.00488431874208024,0.00488431874207555,0.0351528561127957,0.00488431874207725,0.492497231248335,0.00994390396159335,0.00488431874207617,0.00488431874207938,0.0262435184372113,0.00488431874207285,0.0151194893511605,0.00488431874207826,0.0404330700674472
Kogod School of Business,Department of Finance and Real Estate,REAL,2019,0.00488431874207371,0.0193081132758971,0.1319730338736,0.00488431874209885,0.0508078747954984,0.129677721455673,0.00488431874207551,0.00488431874208024,0.00488431874207555,0.0351528561127957,0.00488431874207725,0.492497231248335,0.00994390396159335,0.00488431874207617,0.00488431874207938,0.0262435184372113,0.00488431874207285,0.0151194893511605,0.00488431874207826,0.0404330700674472
Kogod School of Business,Department of Finance and Real Estate,REAL,2020,0.00488431874207371,0.0193081132758971,0.1319730338736,0.00488431874209885,0.0508078747954984,0.129677721455673,0.00488431874207551,0.00488431874208024,0.00488431874207555,0.0351528561127957,0.00488431874207725,0.492497231248335,0.00994390396159335,0.00488431874207617,0.00488431874207938,0.0262435184372113,0.00488431874207285,0.0151194893511605,0.00488431874207826,0.0404330700674472
Kogod School of Business,Department of Finance and Real Estate,REAL,2021,0.00488961394200437,0.0193134084758272,0.131978329073531,0.00488961394202932,0.0508131699954289,0.13801814272475,0.00488961394200603,0.00488961394201103,0.00488961394200594,0.0351581513127267,0.00488961394200751,0.48909101192147,0.00994919916152373,0.00488961394200687,0.00488961394200991,0.021219298096181,0.0048896139420034,0.0151247845510906,0.00488961394200875,0.0404383652673777
Kogod School of Business,Department of Finance and Real Estate,REAL,2022,0.00488961394200437,0.0193134084758272,0.131978329073531,0.00488961394202932,0.0508131699954289,0.13801814272475,0.00488961394200603,0.00488961394201103,0.00488961394200594,0.0351581513127267,0.00488961394200751,0.48909101192147,0.00994919916152373,0.00488961394200687,0.00488961394200991,0.021219298096181,0.0048896139420034,0.0151247845510906,0.00488961394200875,0.0404383652673777
