school,Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
Kogod School of Business,0.00446610641112171,0.245327046309068,0.0580359160560565,0.0208459240175972,0.04143093456157,0.10696367364387,0.00394708920466964,0.00570118729495654,0.036760074642631,0.0545296538897661,0.0305951456099319,0.148503570198759,0.0338163582806523,0.0190811239553066,0.0161584203004482,0.0490965967557335,0.0373654405231208,0.0253287687799976,0.0211343079799624,0.0409126615847813
School of Arts and Sciences,0.0975995535414374,0.0176993511297775,0.0712304836704926,0.0577853413776903,0.0450181916634428,0.0279736150424342,0.0599324647389439,0.0789558669155681,0.0463633647611803,0.029676137358538,0.0902444981050964,0.0234625298541483,0.016507721478232,0.0225758338015978,0.0574363515692338,0.0666072616497542,0.0712446350529467,0.0564206437732289,0.0341186358492064,0.0291475186670506
School of Communications,0.0266078227990313,0.0270774188811109,0.038944771400895,0.0134852924239388,0.0284629271340326,0.0873064581948049,0.00807317140224963,0.0205124923918215,0.0266611829744345,0.0232828622541247,0.00512687221040599,0.0318984765188615,0.487050892342249,0.0471480561513472,0.00533438477302023,0.00716877672601971,0.0116033722416683,0.049345964313696,0.0304674649575966,0.0244413399086916
School of Education,0.0107380684182286,0.0869068720879436,0.233521974016683,0.0376468330942581,0.148766567829567,0.0118998824964261,0.0272700710695675,0.011840999169535,0.0231248327135704,0.0184312235367191,0.0291217646045861,0.0218198154738756,0.00610240331818338,0.0433163260115804,0.0995898703709466,0.020733786243271,0.0244669541844397,0.0772626458154921,0.060425172348489,0.00701393719663848
School of International Service,0.0118333150762337,0.0121533325513591,0.0985389846574273,0.0217147774448868,0.0374863655817545,0.0190108366377444,0.0352170584349368,0.0597570172379178,0.00951166053214633,0.426369552664961,0.00705594982407411,0.0113450462730575,0.0114335045411444,0.090473253398112,0.0178298586704175,0.00887820928017,0.0278810965490128,0.052197042486608,0.0303779173759026,0.0109352207821336
School of Public Affairs,0.0235013193301975,0.0629222474826557,0.0464914930091728,0.0276567033534627,0.0355588331794056,0.0143565909904276,0.0364774332071453,0.0439281056009549,0.0175934030403373,0.0357176417310543,0.0111660402128114,0.0359211821419358,0.0235917471799013,0.268621884357131,0.0327742289056606,0.0330714491106974,0.0215379622063211,0.0570104413267585,0.138164808598633,0.0339364850353358
misc,0.0378040141673242,0.103345292867125,0.136342669909582,0.0499974246331831,0.0997310641426951,0.00751594682674926,0.0163560824050658,0.0143570151634104,0.0123867124413407,0.0305675195137007,0.0739460823338938,0.0546773442866161,0.0292581522254953,0.0341608376492659,0.0567384242385238,0.00768624108555892,0.0360808538951862,0.0952643526561321,0.0159480658643352,0.0878359036948166
